w_zip,h_zip,total,initialFeat,true_label
11226,11104,7,3.0,3
11226,11105,8,3.0,3
11226,11106,10,3.0,3
11226,11201,59,3.0,3
11226,11203,416,3.0,3
11226,11204,128,3.0,3
11226,11205,67,3.0,3
11226,11206,91,3.0,3
11226,11207,202,3.0,3
11226,11208,209,3.0,3
11226,11209,109,3.0,3
11226,11210,294,3.0,3
11226,11211,62,3.0,3
11226,11212,252,3.0,3
11226,11213,153,3.0,3
11226,11214,137,3.0,3
11226,11215,88,3.0,3
11226,11216,118,3.0,3
11226,11217,59,3.0,3
11226,11218,244,3.0,3
11226,11219,122,3.0,3
11226,11220,140,3.0,3
11226,11221,147,3.0,3
11226,11222,33,3.0,3
11226,11223,128,3.0,3
11226,11224,105,3.0,3
11226,11225,223,3.0,3
11226,11226,1149,3.0,3
11226,11228,97,3.0,3
11226,11229,157,3.0,3
11226,11230,223,3.0,3
11226,11231,34,3.0,3
11226,11232,39,3.0,3
11226,11233,147,3.0,3
11226,11234,286,3.0,3
11226,11235,121,3.0,3
11226,11236,412,3.0,3
11226,11237,62,3.0,3
11226,11238,77,3.0,3
11226,11239,33,3.0,3
11226,11354,25,3.0,3
11226,11355,31,3.0,3
11226,11356,6,3.0,3
11226,11357,11,3.0,3
11226,11358,12,3.0,3
11226,11360,8,3.0,3
11226,11361,15,3.0,3
11226,11362,7,3.0,3
11226,11363,3,3.0,3
11226,11364,17,3.0,3
11226,11365,21,3.0,3
11226,11366,4,3.0,3
11226,11367,25,3.0,3
11226,11368,41,3.0,3
11226,11369,15,3.0,3
11226,11370,14,3.0,3
11226,11372,17,3.0,3
11226,11373,41,3.0,3
